Kürzel,Kanton,Name,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %
,,08.03.2015 Initiative «Energie- statt Mehrwertsteuer»,316575,133110,42,132600,9727,122873,7
,,08.03.2015 Initiative «Steuerfreie Kinderzulagen»,316575,133201,42,132695,31559,101136,24
,,30.11.2014 Gold-Initiative,316462,154040,49,151964,41678,110286,27
,,30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»,316462,154922,49,153981,46749,107232,30
,,30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung,316462,154533,49,153350,68191,85159,45
,,28.09.2014 Initiative «Für eine öffentliche Krankenkasse»,316267,138562,44,137889,40389,97500,29
,,28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,316267,137495,44,136020,36392,99628,27
,,18.05.2014 Beschaffung des Kampfflugzeugs Gripen,315484,170736,54,169182,87990,81192,52
,,18.05.2014 Mindestlohn-Initiative,315484,171305,54,170309,31232,139077,18
,,18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,315484,170248,54,168140,106577,61563,63
,,18.05.2014 Medizinische Grundversorgung,315484,168087,53,164549,139968,24581,85
,,09.02.2014 Initiative «Gegen Masseneinwanderung»,314787,174858,56,173765,97218,76547,56
,,09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»,314787,174221,55,172591,73100,99491,42
,,09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur,314787,173312,55,171405,99131,72274,58
,,24.11.2013 Nationalstrassenabgabegesetz (NSAG),314713,163841,52,162645,65810,96835,41
,,24.11.2013 Familieninitiative,314713,163512,52,162330,74572,87758,46
,,24.11.2013 Initiative «1:12 - für gerechte Löhne»,314713,163710,52,162678,51665,111013,32
,,22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops,314097,144104,46,142650,74568,68082,52
,,22.09.2013 Epidemiengesetz,314097,144127,46,142379,72005,70374,51
,,22.09.2013 Aufhebung der Wehrpflicht,314097,145086,46,144392,32272,112120,22
,,09.06.2013 Asylgesetz,313623,113224,36,112113,93645,18468,84
,,09.06.2013 «Volkswahl des Bundesrates»,313623,113605,36,113227,29260,83967,26
,,03.03.2013 Raumplanungsgesetz,312962,137044,44,135478,87170,48308,64
,,03.03.2013 Initiative «gegen die Abzockerei»,312962,137661,44,136419,90529,45890,66
,,03.03.2013 Familienpolitik,312962,137411,44,136348,58421,77927,43
,,25.11.2012 Tierseuchengesetz,313554,91705,29,89565,53547,36018,60
,,23.09.2012 «Schutz vor Passivrauchen»,313284,146464,47,145313,46916,98397,32
,,23.09.2012 «Sicheres Wohnen im Alter»,313284,144754,46,142472,73678,68794,52
,,23.09.2012 Jugendmusikförderung,313284,143707,46,141287,95142,46145,67
,,17.06.2012 Krankenversicherungsgesetz (Managed Care),312574,110333,35,108837,37389,71448,34
,,17.06.2012 Initiative «Staatsverträge vors Volk!»,312574,109894,35,108758,30512,78246,28
,,17.06.2012 «Eigene vier Wände dank Bausparen»,312574,109904,35,108635,30493,78142,28
,,11.03.2012 Buchpreisbindung,311973,139702,45,135399,46626,88773,34
,,11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,311973,139381,45,135366,114822,20544,85
,,11.03.2012 6 Wochen Ferien für alle,311973,143488,46,142552,40811,101741,29
,,11.03.2012 Für ein steuerlich begünstigtes Bausparen,311973,140829,45,137384,58823,78561,43
,,11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!,311973,141833,46,140147,72404,67743,52
,,13.02.2011 Waffeninitiative,309408,147988,48,147447,57760,89687,39
,,28.11.2010 Steuergerechtigkeits-Initiative,308795,162527,53,158571,62659,95912,40
,,28.11.2010 Gegenentwurf zur Ausschaffungsinitiative,308795,165916,54,165609,70768,88992,44
,,28.11.2010 Ausschaffungsinitiative,308795,165916,54,165609,97104,65892,60
,,26.09.2010 Revision des Arbeitslosenversicherungsgesetzes,308008,119823,39,118671,71262,47409,60
,,07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes,306065,128832,42,127228,39321,87907,31
,,07.03.2010 Tierschutzanwalt-Initiative,306065,129073,42,128187,35872,92315,28
,,07.03.2010 Forschung am Menschen,306065,127430,42,124751,92046,32705,74
,,29.11.2009 Verbot von Minaretten,305694,164531,54,163606,107765,55841,66
,,29.11.2009 Verbot von Kriegsmaterial-Exporten,305694,162435,53,160747,42545,118202,27
,,29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr,305694,157599,52,152130,96544,55586,64
,,27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative,305106,125372,41,121135,77917,43218,64
,,27.09.2009 IV-Zusatzfinanzierung,305106,129328,42,128616,59311,69305,46
,,17.05.2009 Biometrische Pässe,304151,101910,34,100840,50799,50041,50
,,17.05.2009 Verfassungsartikel zur Komplementärmedizin,304151,102033,34,101399,63844,37555,63
,,08.02.2009 Personenfreizügigkeit Schweiz-EU,303175,155327,51,154774,86092,68682,56
,,30.11.2008 Betäubungsmittelgesetz,302825,139169,46,135131,91903,43228,68
,,30.11.2008 Hanfinitiative,302825,140907,47,138884,51001,87883,37
,,30.11.2008 Verbandsbeschwerderechts-Initiative,302825,140287,46,137333,51823,85510,38
,,30.11.2008 Initiative für ein flexibles AHV-Alter,302825,143149,47,142147,53439,88708,38
,,30.11.2008 Unverjährbarkeit pornografischer Straftaten an Kindern,302825,142417,47,140996,81052,59944,58
,,01.06.2008 Gesundheitsartikel,301461,118731,39,116273,48834,67439,42
,,01.06.2008 Initiative «gegen Behördenprogaganda»,301461,119097,40,117427,37034,80393,32
,,01.06.2008 Einbürgerungsinitiative,301461,121546,40,121114,58523,62591,48
,,24.02.2008 Unternehmenssteuerreform II,300573,104332,35,103155,54749,48406,53
,,24.02.2008 Initiative gegen Kampfjetlärm,300573,104904,35,104250,26552,77698,26
,,17.06.2007 5. IV-Revision,298962,110522,37,109965,75316,34649,69
,,11.03.2007 Einheitskrankenkasse,298206,124724,42,124425,24535,99890,20
,,26.11.2006 Familienzulagen,297601,124318,42,123831,76679,47152,62
,,26.11.2006 Ostzusammenarbeit,297601,124148,42,123543,57564,65979,47
,,24.09.2006 Asylgesetz,297421,143674,48,142779,107787,34992,76
,,24.09.2006 Ausländergesetz,297421,143328,48,142233,107527,34706,76
,,24.09.2006 KOSA-Initiative,297421,142200,48,140917,55456,85461,39
,,21.05.2006 Bildungsartikel,296340,77763,26,77264,64979,12285,84
,,27.11.2005 Sonntagsarbeit,295359,120501,41,120095,56945,63150,47
,,27.11.2005 Gentechfrei-Initiative,295359,119820,41,119214,61581,57633,52
,,25.09.2005 Ausdehnung der Personenfreizügigkeit,295051,156975,53,156517,81736,74781,52
,,05.06.2005 Partnerschaftsgesetz,294030,161605,55,160495,86443,74052,54
,,05.06.2005 Abkommen zu Schengen und Dublin,294030,162387,55,161596,75856,85740,47
,,28.11.2004 Stammzellenforschungsgesetz,292991,99781,34,98823,58696,40127,59
,,28.11.2004 Neue Finanzordnung,292991,98371,34,96876,67683,29193,70
,,28.11.2004 Neugestaltung Finanzausgleich,292991,98642,34,97404,64749,32655,67
,,26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft,292662,159321,54,158535,65721,92814,42
,,26.09.2004 Postdienst für alle,292662,157424,54,155823,66241,89582,43
,,26.09.2004 Bürgerrechtserwerb für die dritte Generation,292662,159376,55,158834,58507,100327,37
,,26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation,292662,159191,54,158635,49479,109156,31
,,16.05.2004 Steuerpaket,291947,137283,47,136627,61242,75385,45
,,16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV,291947,137023,47,136435,43150,93285,32
,,16.05.2004 11. AHV-Revision,291947,136728,47,136045,54704,81341,40
,,08.02.2004 Initiative zur Verwahrung gefährlicher Straftäter,291592,123931,43,122850,75651,47199,62
,,08.02.2004 Mietrecht,291592,122773,42,120321,50276,70045,42
,,08.02.2004 Gegenentwurf zur Avanti-Initiative,291592,124020,43,123473,42924,80549,35
,,18.05.2003 Lehrstelleninitiative,290016,139327,48,137516,33855,103661,25
,,18.05.2003 Moratorium Plus,290016,139298,48,137501,52273,85228,38
,,18.05.2003 Strom ohne Atom,290016,140205,48,139290,41551,97739,30
,,18.05.2003 Gleiche Rechte für Behinderte,290016,139970,48,138644,38899,99745,28
,,18.05.2003 Gesundheitsinitiative,290016,140061,48,138611,28022,110589,20
,,18.05.2003 Sonntagsinitiative,290016,140803,49,140277,50936,89341,36
,,18.05.2003 Ja zu fairen Mieten,290016,139437,48,137416,34497,102919,25
,,18.05.2003 Zivilschutz,290016,138859,48,136414,105853,30561,78
,,18.05.2003 Armee XXI,290016,139320,48,136418,99536,36882,73
,,09.02.2003 Kantonale Beiträge an Spitalbehandlungen,289986,82538,29,81613,60489,21124,74
,,09.02.2003 Änderung Volksrechte,289986,82571,29,81661,56681,24980,69
,,24.11.2002 Arbeitslosenversicherungsgesetz,290048,139900,48,138269,84641,53628,61
,,24.11.2002 Gegen Asylrechtsmissbrauch,290048,142032,49,141435,86093,55342,61
,,22.09.2002 Elektrizitätsmarktgesetz,289872,122586,42,120362,57902,62460,48
,,22.09.2002 Gold für AHV, Kantone und Stiftung,289872,125029,43,124676,51472,67710,43
,,22.09.2002 Goldinitiative,289872,125029,43,124676,62554,59267,51
,,02.06.2002 Für Mutter und Kind,288416,114414,40,113482,27002,86480,24
,,02.06.2002 Fristenregelung,288416,115133,40,114241,67221,47020,59
,,03.03.2002 Kürzere Arbeitszeit,287615,176458,61,175711,34817,140894,20
,,03.03.2002 UNO-Beitritt,287615,177793,62,177130,82334,94796,47
,,02.12.2001 Kapitalgewinnsteuer,286882,106472,37,105459,36321,69138,34
,,02.12.2001 Ziviler Friedensdienst,286882,106525,37,105602,17726,87876,17
,,02.12.2001 Schweiz ohne Armee,286882,106931,37,106329,19238,87091,18
,,02.12.2001 Energie statt Arbeit besteuern,286882,106439,37,105562,21429,84133,20
,,02.12.2001 Schuldenbremse,286882,106403,37,105505,94209,11296,89
,,10.06.2001 Aufhebung Bistumsartikel,286060,123397,43,120664,81939,38725,68
,,10.06.2001 Militärgesetz: Ausbildungszusammenarbeit,286060,126097,44,125281,58537,66744,47
,,10.06.2001 Militärgesetz: Bewaffnung,286060,126254,44,125575,58564,67011,47
,,04.03.2001 Strassen für alle,285631,159520,56,159073,27952,131121,18
,,04.03.2001 Arzneimittel-Initiative,285631,158758,56,157780,51258,106522,33
,,04.03.2001 Ja zu Europa!,285631,159424,56,158875,22522,136353,14
,,26.11.2000 Bundespersonalgesetz,284893,107494,38,105759,79391,26368,75
,,26.11.2000 Spitalkosteninitiative,284893,108656,38,107974,18768,89206,17
,,26.11.2000 Umverteilungsinitiative,284893,108956,38,108334,32100,76234,30
,,26.11.2000 Rentenalter ab 62 für Frau und Mann,284893,108997,38,108414,41539,66875,38
,,26.11.2000 Flexibilisierung der AHV,284893,108953,38,108136,34104,74032,32
,,24.09.2000 Konstruktives Referendum,284761,129229,45,125576,40204,85372,32
,,24.09.2000 Regelung der Zuwanderung,284761,132573,47,131555,54354,77201,41
,,24.09.2000 Umweltabgabe,284761,129923,46,127306,57130,70176,45
,,24.09.2000 Förderabgabe,284761,127476,45,125937,56052,66815,46
,,24.09.2000 Solarinitiative,284761,127476,45,125937,35293,88796,28
,,21.05.2000 Bilaterale Abkommen mit der EU,284281,125947,44,125363,79227,46136,63
,,12.03.2000 Verkehrshalbierungs-Initiative,284064,124102,44,123155,25264,97891,21
,,12.03.2000 Menschenwürdige Fortpflanzung,284064,122943,43,121035,41514,79521,34
,,12.03.2000 Quoten-Initiative,284064,122918,43,121818,16859,104959,14
,,12.03.2000 Beschleunigungs-Initiative,284064,122458,43,120990,39532,81458,33
,,12.03.2000 Justizreform,284064,121403,43,118579,102900,15679,87
,,13.06.1999 Mutterschaftsversicherung,282883,138711,49,137998,32734,105264,24
,,13.06.1999 Invalidenversicherung,282883,136805,48,134306,43810,90496,33
,,13.06.1999 Verschreibung von Heroin,282883,137300,49,135505,69757,65748,52
,,13.06.1999 Massnahmen Asyl- und Ausländerbereich,282883,136650,48,134192,102984,31208,77
,,13.06.1999 Asylgesetz,282883,136502,48,134154,101698,32456,76
,,18.04.1999 Neue Bundesverfassung,282785,102763,36,102280,49210,53070,48
,,07.02.1999 Raumplanungsgesetz,283328,112899,40,111320,60497,50823,54
,,07.02.1999 Wohneigentums-Initiative,283328,114035,40,113435,51190,62245,45
,,07.02.1999 Transplantationsmedizin,283328,112934,40,111298,96843,14455,87
,,07.02.1999 Wählbarkeit in den Bundesrat,283328,113072,40,112081,84198,27883,75
,,29.11.1998 Arbeitsgesetz,282899,102995,36,100672,63656,37016,63
,,29.11.1998 Vernünftige Drogenpolitik,282899,104831,37,103880,27260,76620,26
,,29.11.1998 Getreideartikel,282899,102630,36,99956,77637,22319,78
,,29.11.1998 Finanzierung öffentlicher Verkehr (FinöV),282899,104673,37,103733,58749,44984,57
,,27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter,282806,153177,54,151618,52791,98827,35
,,27.09.1998 Kleinbauern-Initiative,282806,152700,54,150607,36663,113944,24
,,27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA),282806,154579,55,153629,80359,73270,52
,,07.06.1998 S.o.S.-Initiative,282736,111566,40,109730,24582,85148,22
,,07.06.1998 Gen-Schutz-Initiative,282736,113145,40,112150,43561,68589,39
,,07.06.1998 Haushaltsziel 2001,282736,111395,39,109070,84069,25001,77
,,28.09.1997 Jugend ohne Drogen,281810,109582,39,108831,34809,74022,32
,,28.09.1997 Finanzierung der Arbeitslosenversicherung,281810,108694,39,107569,65192,42377,61
,,08.06.1997 Aufhebung Pulverregal,281914,104476,37,101483,85964,15519,85
,,08.06.1997 Kriegsmaterial-Initiative,281914,105909,38,105011,19113,85898,18
,,08.06.1997 EU-Beitrittsverhandlungen vors Volk,281914,105824,38,104982,30063,74919,29
,,01.12.1996 Arbeitsgesetz,281270,119343,42,118478,44451,74027,38
,,01.12.1996 Gegen die illegale Einwanderung,281270,119371,42,118624,61417,57207,52
,,09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz,280994,92148,33,90143,28288,61855,31
,,09.06.1996 Landwirtschaftsartikel,280994,92468,33,91195,69855,21340,77
,,10.03.1996 Aufhebung Beiträge an Bahnhofparkplätze,280945,86878,31,85524,48602,36922,57
,,10.03.1996 Übernahme von Branntwein und Brennapparaten,280945,86462,31,84352,69114,15238,82
,,10.03.1996 Persönliche militärische Ausrüstung,280945,87176,31,85906,38440,47466,45
,,10.03.1996 Übertritt Vellerat zum Kanton Jura,280945,87196,31,84699,77863,6836,92
,,10.03.1996 Sprachenartikel,280945,87189,31,85953,62448,23505,73
,,25.06.1995 Erwerb von Grundstücken durch Ausländer,280665,106721,38,105344,42554,62790,40
,,25.06.1995 Ausbau von AHV und IV,280665,106652,38,105382,23946,81436,23
,,25.06.1995 10. AHV-Revision,280665,106820,38,106068,69580,36488,66
,,12.03.1995 Ausgabenbremse,280470,111990,40,110146,93839,16307,85
,,12.03.1995 Landwirtschaftsgesetz,280470,112579,40,111554,34427,77127,31
,,12.03.1995 Milchwirtschaftsbeschluss,280470,112614,40,111733,37698,74035,34
,,12.03.1995 Landwirtschaftsartikel,280470,112580,40,111702,51801,59901,46
,,04.12.1994 Zwangsmassnahmen im Ausländerrecht,280372,122580,44,121316,97854,23462,81
,,04.12.1994 Für eine gesunde Krankenversicherung,280372,122212,44,120854,21143,99711,18
,,04.12.1994 Krankenversicherungsgesetz,280372,122286,44,120901,52704,68197,44
,,25.09.1994 Antirassismusgesetz,280188,132763,47,131854,65576,66278,50
,,25.09.1994 Aufhebung Brotgetreideverbilligung,280188,130351,47,128561,81633,46928,64
,,12.06.1994 UNO-Blauhelme,279853,139260,50,138145,48364,89781,35
,,12.06.1994 Erleichterte Einbürgerung für junge Ausländer,279853,139110,50,138251,59439,78812,43
,,12.06.1994 Kulturförderungsartikel,279853,137703,49,135979,56134,79845,41
,,20.02.1994 Luftfahrtgesetz,279691,119376,43,116316,67376,48940,58
,,20.02.1994 Alpen-Initiative,279691,120782,43,119947,66850,53097,56
,,20.02.1994 Einführung leistungsabhängige Schwerverkehrsabgabe,279691,120293,43,118989,81851,37138,69
,,20.02.1994 Weiterführung Schwerverkehrsabgabe,279691,120495,43,119722,89125,30597,74
,,20.02.1994 Weiterführung Autobahnvignette,279691,120634,43,120060,84768,35292,71
,,28.11.1993 Verminderung Tabakprobleme,279419,130351,47,129442,35484,93958,27
,,28.11.1993 Verminderung Alkoholprobleme,279419,130457,47,129544,35325,94219,27
,,28.11.1993 Besondere Verbrauchssteuern,279419,129643,46,127437,77231,50206,61
,,28.11.1993 Mehrwertsteuer-% für AHV,279419,129861,47,128207,78495,49712,61
,,28.11.1993 Mehrwertsteuer Satz 6,5%,279419,129623,46,128284,74519,53765,58
,,28.11.1993 Einführung Mehrwertsteuer,279419,130119,47,128971,85374,43597,66
,,26.09.1993 Massnahmen in der Arbeitslosenversicherung,279489,107138,38,105110,76637,28473,73
,,26.09.1993 Befristete Massnahmen in der Krankenversicherung,279489,107344,38,105785,86463,19322,82
,,26.09.1993 1. August-Initiative,279489,107980,39,106851,87379,19472,82
,,26.09.1993 Kantonswechsel Laufental zu Basel-Landschaft,279489,104491,37,92766,74539,18227,80
,,26.09.1993 Waffenmissbrauch,279489,107685,39,107024,94572,12452,88
,,06.06.1993 Schweiz ohne neue Kampfflugzeuge,279192,161762,58,160979,65524,95455,41
,,06.06.1993 40 Waffenplätze sind genug,279192,161735,58,161206,64107,97099,40
,,07.03.1993 Abschaffung der Tierversuche,278910,141998,51,140079,45145,94934,32
,,07.03.1993 Aufhebung Spielbankenverbot,278910,142157,51,140866,107975,32891,77
,,07.03.1993 Erhöhung Treibstoffzoll,278910,142429,51,141421,82234,59187,58
,,06.12.1992 EWR-Beitritt,278676,226212,81,224350,86247,138103,38
,,27.09.1992 Bäuerliches Bodenrecht,277786,137486,50,134294,73007,61287,54
,,27.09.1992 Stempelabgaben,277786,137566,50,134526,81533,52993,61
,,27.09.1992 Infrastrukturgesetz,277786,135852,49,130246,36002,94244,28
,,27.09.1992 Entschädigungsgesetz,277786,135705,49,132104,32448,99656,25
,,27.09.1992 Geschätsverkehrsgesetz,277786,135479,49,128613,69760,58853,54
,,27.09.1992 Alpentransit-Beschluss (NEAT),277786,139296,50,137893,79565,58328,58
,,17.05.1992 Reform Sexualstrafrecht,276941,107658,39,105563,75228,30335,71
,,17.05.1992 Zivildienst für Dienstverweigerer,276941,108394,39,107515,90747,16768,84
,,17.05.1992 Fortpflanzungs- und Gentechnologie,276941,107981,39,106147,79243,26904,75
,,17.05.1992 Gewässerschutz-Initiative,276941,108009,39,106696,40676,66020,38
,,17.05.1992 Gewässerschutzgesetz,276941,107921,39,106787,75724,31063,71
,,17.05.1992 Mitwirkung an den Institutionen von Bretton Woods,276941,105453,38,101495,53734,47761,53
,,17.05.1992 Beitritt zu den Institutionen von Bretton Woods,276941,105620,38,102028,53375,48653,52
,,16.02.1992 Weg vom Tierversuch,276648,118582,43,117774,56803,60971,48
,,16.02.1992 Krankenkasseninitiative,276648,118247,43,117225,44588,72637,38
,,02.06.1991 Militärstrafgesetz,275308,90476,33,89531,55583,33948,62
,,02.06.1991 Neuordnung Bundesfinanzen (Einführung Mehrwertsteuer),275308,90048,33,88646,43990,44656,50
,,03.03.1991 Förderung öffentlicher Verkehr,265540,93228,35,92323,33643,58680,36
,,03.03.1991 Stimmrecht für 18-jährige,265540,93675,35,93032,66014,27018,71
,,23.09.1990 Strassenverkehrsgesetz,264537,106879,40,105126,56018,49108,53
,,23.09.1990 Energieartikel,264537,106802,40,105246,74885,30361,71
,,23.09.1990 Moratorium Atomkraftwerkbau,264537,107361,41,106305,56229,50076,53
,,23.09.1990 Ausstieg Atomenergie,264537,107384,41,106253,45665,60588,43
,,01.04.1990 Organisation der Bundesrechtspflege,263579,103452,39,98189,50317,47872,51
,,01.04.1990 Rebbaubeschluss,263579,103589,39,98884,44319,54565,45
,,01.04.1990 Freie Aarelandschaft Biel-Solothurn,263579,105177,40,103642,37830,65812,37
,,01.04.1990 Autobahnfreies Kononauer Amt,263579,105278,40,103869,35436,68433,34
,,01.04.1990 Autobahnfreie Landschaft Murten-Yverdon,263579,105203,40,103802,37121,66681,36
,,01.04.1990 Begrenzung des Strassenbaus,263579,105393,40,104440,30415,74025,29
,,26.11.1989 Pro Tempo 130/100,262933,185004,70,183710,59340,124370,32
,,26.11.1989 Schweiz ohne Armee,262933,185012,70,183130,65479,117651,36
,,04.06.1989 Kleinbauern-Initiative,261347,106338,41,104677,49120,55557,47
,,04.12.1988 Begrenzung der Einwanderung,260212,131865,51,130715,43495,87220,33
,,04.12.1988 Herabsetzung Arbeitszeit,260212,132003,51,131058,34076,96982,26
,,04.12.1988 Gegen die Bodenspekulation,260212,132079,51,130915,37101,93814,28
,,12.06.1988 Herabsetzung AHV-Rentenalter,258963,107902,42,107284,30813,76471,29
,,12.06.1988 Koordinierte Verkehrspolitik,258963,106933,41,105504,51079,54425,48
,,06.12.1987 Rothenthurm-Initiative,257856,123341,48,122228,70608,51620,58
,,06.12.1987 Krankenversicherungsgesetz,257856,123330,48,121958,29491,92467,24
,,06.12.1987 Bahn 2000,257856,123559,48,122478,73705,48773,60
,,05.04.1987 Initiativen mit Gegenentwurf,255641,92338,36,89837,56012,33825,62
,,05.04.1987 Rüstungsreferendum,255641,93143,36,92323,34764,57559,38
,,05.04.1987 Ausländergesetz,255641,92373,36,89518,62245,27273,70
,,05.04.1987 Asylgesetz,255641,93238,37,92069,65087,26982,71
,,07.12.1986 Besteuerung Schwerverkehr,255238,83644,33,82783,26258,56525,32
,,07.12.1986 Mieterschutz,255238,83937,33,82884,49261,33623,59
,,28.09.1986 Zuckerbeschluss,254703,91688,36,90528,31479,59049,35
,,28.09.1986 Berufsbildung und Umschulung,254703,91475,36,90196,9731,80465,11
,,28.09.1986 Gegenentwurf zur Kulturinitiative,254703,90689,36,88284,36186,42755,46
,,28.09.1986 Kulturinitiative,254703,90689,36,88284,9828,71655,12
,,16.03.1986 UNO-Beitritt,252756,129181,51,128444,24709,103735,19
,,01.12.1985 Abschaffung der Vivisektion,251869,83595,33,82867,28551,54316,35
,,22.09.1985 Neues Eherecht,251308,104969,42,103821,48408,55413,47
,,22.09.1985 Innovationsrisikogarantie,251308,103700,41,100135,39217,60918,39
,,22.09.1985 Koordination Schuljahresbeginn,251308,104887,42,103374,55763,47611,54
,,09.06.1985 Selbstversorgung mit Brotgetreide,249987,85418,34,82695,52021,30674,63
,,09.06.1985 Neuverteilung Alkoholabgabe,249987,85308,34,82188,63944,18244,78
,,09.06.1985 Kantonsanteil Stempelabgaben,249987,84987,34,81638,59523,22115,73
,,09.06.1985 Recht auf Leben,249987,87952,35,86587,42097,44490,49
,,10.03.1985 Verlängerung bezahlte Ferien,249229,74258,30,73737,19484,54253,26
,,10.03.1985 Ausbildungsbeiträge,249229,73470,30,72225,41278,30947,57
,,10.03.1985 Beiträge Gesundheitswesen,249229,73661,30,72521,45791,26730,63
,,10.03.1985 Beiträge Primarschulunterricht,249229,73582,30,72475,50141,22334,69
,,02.12.1984 Hilfe für Opfer von Gewaltverbrechen,248424,86216,35,85257,72785,12472,85
,,02.12.1984 Radio- und Fernsehartikel,248424,85831,35,83068,58249,24819,70
,,02.12.1984 Mutterschutz-Initiative,248424,86491,35,85866,7943,77923,9
,,23.09.1984 Umweltgerechte Energieversorgung,247936,111574,45,110282,44663,65619,41
,,23.09.1984 Zukunft ohne neue Atomkraftwerke,247936,111816,45,110617,44455,66162,40
,,20.05.1984 Gegen den Ausverkauf der Heimat,246612,93174,38,92424,47143,45281,51
,,20.05.1984 Banken-Initiative,246612,93287,38,92595,21078,71517,23
,,26.02.1984 Zivildienst-Initiative,245740,126923,52,126011,34294,91717,27
,,26.02.1984 Einführung Autobahnvignette,245740,126813,52,126106,73164,52942,58
,,26.02.1984 Erhebung Schwerverkehrsabgae,245740,126705,52,126019,74725,51294,59
,,04.12.1983 Erleichterung Einbürgerungen,245087,69772,29,69102,31410,37692,46
,,04.12.1983 Bürgerrechtsregelung,245087,69727,28,69166,44496,24670,64
,,27.02.1983 Energieartikel,241790,80319,33,79233,41234,37999,52
,,27.02.1983 Neuregelung Treibstoffzölle,241790,80596,33,79947,39445,40502,49
,,28.11.1982 Gegenentwurf zur Preisüberwachungs-Initiative,241486,74131,31,73328,18911,43910,30
,,28.11.1982 Preisüberwachungs-Initiative,241486,74131,31,73328,37379,32840,53
,,06.06.1982 Ausländergesetz,239362,76452,32,75312,39454,35858,52
,,06.06.1982 Strafgesetzbuch,239362,76460,32,75703,53914,21789,71
,,29.11.1981 Weiterführung Finanzordnung,237831,68016,29,67403,45221,22182,67
,,14.06.1981 Konsumentenschutzartikel,236282,74189,31,73172,43486,29686,59
,,14.06.1981 Gleichstellung von Mann und Frau,236282,74314,32,73620,34073,39547,46
,,05.04.1981 Neue Ausländerpolitik,235352,84217,36,83641,8426,75215,10
,,30.11.1980 Brotgetreideordnung,234873,83118,35,81850,56082,25768,69
,,30.11.1980 Alkoholeinnahmen,234873,83093,35,81581,64650,16931,79
,,30.11.1980 Kantonsanteil Stempelabgaben,234873,82783,35,80964,60868,20096,75
,,30.11.1980 Gurten- und Schutzhelmobligatorium,234873,83643,36,82808,52479,30329,63
,,02.03.1980 Neuordnung Landesversorgung,232798,85085,37,83132,71636,11496,86
,,02.03.1980 Trennung Kirche und Staat,232798,86662,37,85925,11746,74179,14
,,20.05.1979 Atomgesetz,230404,82179,36,80944,60810,20134,75
,,20.05.1979 Umsatz- und direkte Bundessteuer,230404,82252,36,81341,29805,51536,37
,,18.02.1979 Volksrechte und Atomsicherheit,229702,111705,49,110062,51307,58755,47
,,18.02.1979 Gegen Suchtmittelreklame,229702,111613,49,110464,49448,61016,45
,,18.02.1979 Fuss- und Wanderwege,229702,111699,49,110812,85330,25482,77
,,18.02.1979 Stimmrecht für 18-Jährige,229702,111771,49,110910,48194,62716,44
,,03.12.1978 Berufsbildungsgesetz,229331,93105,41,91018,56424,34594,62
,,03.12.1978 Sicherheitspolizei,229331,93387,41,92259,49412,42847,54
,,03.12.1978 Tierschutzgesetz,229331,93593,41,92551,77093,15458,83
,,03.12.1978 Milchwirtschaftsbeschluss,229331,92921,41,90504,65711,24793,73
,,24.09.1978 Gründung des Kantons Jura,228869,91129,40,89932,74632,15300,83
,,28.05.1978 12 autofreie Sonntage,228092,114321,50,113569,43480,70089,38
,,28.05.1978 Hochschulförderung,228092,113447,50,111482,36792,74690,33
,,28.05.1978 Schwangerschaftsabbruch,228092,113210,50,109291,40381,68910,37
,,28.05.1978 Zolltarifgesetz,228092,112755,49,108889,62690,46199,58
,,28.05.1978 Zeitgesetz,228092,113850,50,112546,49757,62789,44
,,26.02.1978 Konjunkturartikel,227806,103528,45,98721,66319,32402,67
,,26.02.1978 Herabsetzung AHV-Alter,227806,105153,46,104407,15690,88717,15
,,26.02.1978 9. AHV-Revision,227806,104986,46,103596,59980,43616,58
,,26.02.1978 Mitbestimmung im Nationalstrassenbau,227806,104317,46,102323,33844,68479,33
,,04.12.1977 Ausgleich des Bundeshaushaltes,227220,82236,36,79497,53431,26066,67
,,04.12.1977 Ziviler Ersatzdienst,227220,83048,37,81966,22764,59202,28
,,04.12.1977 Politische Rechte,227220,82176,36,78138,52352,25786,67
,,04.12.1977 Reichtumssteuer-Initiative,227220,82938,37,81954,32757,49197,40
,,25.09.1977 Fristenlösungs-Initiative,226633,124926,55,122531,34211,88320,28
